dim 3,3
board cell 1,1 given 5
board cell 1,2 given 7
board cell 1,4 given 6
board cell 1,7 given 8
board cell 2,3 given 1
board cell 2,4 given 8
board cell 2,7 given 6
board cell 2,8 given 7
board cell 2,9 given 9
board cell 3,3 given 8
board cell 3,4 given 1
board cell 3,5 given 7
board cell 3,8 given 2
board cell 4,4 given 4
board cell 4,6 given 1
board cell 4,7 given 7
board cell 4,8 given 8
board cell 4,9 given 3
board cell 5,1 given 4
board cell 5,3 given 3
board cell 5,5 given 5
board cell 5,7 given 1
board cell 5,9 given 6
board cell 6,1 given 7
board cell 6,2 given 1
board cell 6,3 given 6
board cell 6,4 given 3
board cell 6,6 given 8
board cell 7,2 given 2
board cell 7,5 given 8
board cell 7,6 given 6
board cell 7,7 given 3
board cell 8,1 given 8
board cell 8,2 given 6
board cell 8,3 given 9
board cell 8,6 given 4
board cell 8,7 given 2
board cell 9,3 given 7
board cell 9,6 given 2
board cell 9,8 given 6
board cell 9,9 given 8
board print
