dim 3,3
board cell 1,2 given 4
board cell 1,3 given 3
board cell 1,7 given 2
board cell 2,5 given 2
board cell 2,6 given 3
board cell 2,9 given 7
board cell 3,1 given 6
board cell 3,6 given 1
board cell 4,2 given 7
board cell 4,6 given 6
board cell 4,8 given 5
board cell 5,1 given 8
board cell 5,4 given 1
board cell 5,6 given 7
board cell 5,9 given 9
board cell 6,2 given 1
board cell 6,4 given 4
board cell 6,8 given 2
board cell 7,4 given 9
board cell 7,9 given 2
board cell 8,1 given 2
board cell 8,4 given 3
board cell 8,5 given 5
board cell 9,3 given 1
board cell 9,7 given 5
board cell 9,8 given 3
